fips,county,state,longitude,latitude,population,cases_total,imported,local,unvaccinated or unknown,unvaccinated,unknown,vaccinated,vaccination granularity,less than four,five to seventeen,adult,age unknown/pending,mmr_rate,mmr_type,date,outbreak,notes,link,unnamed: 19
12057,Hillsborough,Florida,-82.3088,27.9292,1489634,1,0,1,0,0,1,0,county,0,0,1,0,,,1/8/26,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
12081,Manatee,Florida,-82.3153,27.4719,416020,1,1,0,0,0,1,0,county,0,0,1,0,,,1/6/26,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
12086,Miami-Dade,Florida,-80.5624,25.615,2685296,1,0,1,0,0,1,0,county,0,1,0,0,0.94,0.90-0.95,3/6/25,,measles case reported at Miami Palmetto Senior High School in Miami-Dade,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
12091,Okaloosa,Florida,-86.5917,30.6913,214281,1,1,0,0,0,1,0,county,0,0,1,0,,,11/11/25,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
12109,St. Johns,Florida,-81.4407,29.9016,292243,1,0,1,0,0,1,0,county,0,0,1,0,,,1/10/26,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
13,Coastal Health District,Georgia,-81.37,31.81,658023,1,1,0,0,1,0,0,county,1,0,0,0,,,1/12/26,,"a measles case in a baby too young to receive routine measles vaccination. The baby, who acquired the virus while traveling internationally, lives in the Coastal Health District.",https://dph.georgia.gov/press-releases/2026-01-12/dph-confirms-measles-case-georgia,
13121,Fulton,Georgia,-84.467,33.7902,1068507,10,2,8,0,9,1,0,county,0,0,0,10,0.91,0.90-0.95,9/23/25,,"The individuals are close contacts of the measles case that was confirmed on Sept. 11, 2025. Two of the individuals are unvaccinated, and the third has an unknown vaccination status. They are isolating at home.",https://dph.georgia.gov/press-releases/2025-09-12/dph-confirms-measles-case-fulton-county-resident,
13121,Fulton,Georgia,-84.467,33.7902,1068507,7,2,5,0,7,0,0,county,0,0,0,7,0.91,0.90-0.95,9/12/25,,an unvaccinated resident of Fulton County. There is no known international travel associated with this case. ,https://dph.georgia.gov/press-releases/2025-09-12/dph-confirms-measles-case-fulton-county-resident,
13121,Fulton,Georgia,-84.467,33.7902,1068507,6,2,4,0,6,0,0,county,0,0,0,6,0.91,0.90-0.95,6/18/25,,The unvaccinated individual is a family member of the confirmed measles case in May.,https://dph.georgia.gov/press-releases/2025-06-18/dph-confirms-sixth-measles-case-2025,
13121,Fulton,Georgia,-84.467,33.7902,1068507,5,2,3,0,5,0,0,county,0,0,0,5,0.91,0.90-0.95,6/6/25,," a secondary case of measles in an unvaccinated metro Atlanta resident. This individual is a family member of the person with measles, acquired outside the country, who was confirmed in May. ",https://dph.georgia.gov/press-releases/2025-06-06/dph-confirms-additional-measles-case,
13121,Fulton,Georgia,-84.467,33.7902,1068507,4,2,2,0,4,0,0,county,0,0,0,4,0.91,0.90-0.95,5/19/25,,a measles case in an unvaccinated Greater Atlanta resident. The individual acquired the virus while traveling internationally.,https://dph.georgia.gov/press-releases/2025-05-19/dph-confirms-fourth-measles-case-georgia-2025,
13121,Fulton,Georgia,-84.467,33.7902,1068507,3,1,2,0,3,0,0,county,0,0,0,3,0.91,0.90-0.95,3/31/25,,Unvaccinated Family Members of Previous Case,https://dph.georgia.gov/press-releases/2025-02-07/additional-measles-cases-atlanta,
13121,Fulton,Georgia,-84.467,33.7902,1068507,1,1,0,0,1,0,0,county,0,0,0,1,0.91,0.90-0.95,1/28/25,,"Unvaccinated, metro Atlanta, Unvaccinated",https://dph.georgia.gov/press-releases/2025-01-28/dph-confirms-measles-case-metro-atlan,
15003,Honolulu,Hawaii,-158.0739,21.4899,1003666,2,2,0,0,1,1,0,county,1,0,1,0,,,4/17/25,,in the household of a child previously confirmed on April 7. The adult member of the family,https://health.hawaii.gov/news/newsroom/doh-confirms-second-case-of-measles-in-hawai_i/,
15003,Honolulu,Hawaii,-158.0739,21.4899,1003666,1,1,0,0,1,0,0,county,1,0,0,0,,,4/8/25,,an unvaccinated child under 5 years of age on O_ahu,https://health.hawaii.gov/news/newsroom/measles-case-confirmed-in-child-on-o_ahu-doh-notifies-public-of-measles-exposure-locations/,
16021,Boundary,Idaho,-116.4629,48.7669,12695,6,0,6,0,6,0,0,county,1,2,1,2,,,11/7/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16021,Boundary,Idaho,-116.4629,48.7669,12695,4,0,4,0,4,0,0,county,1,2,1,0,,,11/2/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16021,Boundary,Idaho,-116.4629,48.7669,12695,3,0,3,0,3,0,0,county,0,1,0,0,,,11/1/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16021,Boundary,Idaho,-116.4629,48.7669,12695,2,0,2,0,2,0,0,county,0,0,1,0,,,10/22/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16021,Boundary,Idaho,-116.4629,48.7669,12695,1,0,1,0,1,0,0,county,1,0,0,0,,,10/20/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16019,Bonneville,Idaho,-111.6148,43.3877,127056,5,2,3,0,5,0,0,county,0,1,0,4,,,9/13/25,,,https://healthandwelfare.idaho.gov/health-wellness/diseases-conditions/measles,
16017,Bonner,Idaho,-116.6011,48.3,49456,1,0,1,0,1,0,0,county,0,1,0,0,,,8/20/25,,This most recent case is an unvaccinated child in Bonner County. ,https://healthandwelfare.idaho.gov/news/measles-circulating-among-idaho-communities-health-officials-urge-consultation-healthcare,
16027,Canyon,Idaho,-116.7093,43.6251,242405,5,0,5,0,5,0,0,county,1,3,0,1,,,1/21/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16027,Canyon,Idaho,-116.7093,43.6251,242405,4,0,4,0,4,0,0,county,1,2,0,1,,,1/20/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16027,Canyon,Idaho,-116.7093,43.6251,242405,3,0,3,0,3,0,0,county,1,1,0,1,,,1/19/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16027,Canyon,Idaho,-116.7093,43.6251,242405,2,0,2,0,2,0,0,county,1,0,0,1,,,1/17/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16027,Canyon,Idaho,-116.7093,43.6251,242405,1,0,1,0,1,0,0,county,0,0,0,1,,,1/9/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16055,Kootenai,Idaho,-116.7018,47.6744,177736,1,0,1,0,1,0,0,county,0,1,0,0,,,8/12/25,, the case was an unvaccinated child in Kootenai County,https://healthandwelfare.idaho.gov/news/measles-circulating-among-idaho-communities-health-officials-urge-consultation-healthcare,
16019,Bonneville,Idaho,-111.6148,43.3877,127056,2,2,0,0,2,0,0,county,0,1,0,1,,,8/7/25,, The adolescent was an international traveler who was unvaccinated against measles. Idaho has had two additional measles cases in non-resident travelers. They were in Cassia County in May and Bonneville County in August. ,https://eiph.id.gov/pressrelease/international-traveler-with-measles-reported-in-eastern-idaho/,
16065,Madison,Idaho,-111.6592,43.7841,53578,3,0,3,2,0,1,0,county,1,1,1,0,,,1/11/26,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16065,Madison,Idaho,-111.6592,43.7841,53578,1,0,1,0,0,1,0,county,0,1,0,0,,,12/31/25,,,https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/TrackingIdahoMeasles/StatewideSummary?publish=yes,
16,Unknown County,Idaho,-115.22461,44.220476,1839106,2,0,2,0,0,2,0,county,0,0,0,2,,,9/30/25,,,https://healthandwelfare.idaho.gov/health-wellness/diseases-conditions/measles,
17031,Cook,Illinois,-87.8168,41.8401,5185812,8,2,6,0,1,6,1,county,1,0,7,0,,,9/30/25,, The case was identified in a suburban Cook County adult whose vaccination status is unknown.  Public health officials believe the case was acquired from exposure to the last reported measles case announced on 9/16/2025.,https://cookcountypublichealth.org/2025/09/30/cook-county-confirms-another-measles-case/,
17031,Cook,Illinois,-87.8168,41.8401,5185812,7,2,5,0,1,5,1,county,1,0,6,0,,,9/16/25,,"The case was identified in a 4-year-old child, a suburban Cook County resident who is not vaccinated. Public health officials believe the case was acquired during international travel. ",https://cookcountypublichealth.org/2025/09/16/cook-county-confirms-measles-case/,
17031,Cook,Illinois,-87.8168,41.8401,5185812,6,1,5,0,0,5,1,county,0,0,6,0,,,5/2/25,,"The state claims total of 10 cases, needs update",https://dph.illinois.gov/topics-services/diseases-and-conditions/measles/case-counts.html,
17031,Cook,Illinois,-87.8168,41.8401,5185812,2,1,1,0,0,1,1,county,0,0,2,0,,,4/28/25,,"an adult who is a suburban Cook County resident, and whose vaccination status is unknown.",https://dph.illinois.gov/resource-center/news/2025/april/release-20250430.html,
